date,amount,vendor,account
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
3/6/2010,116.44,Dilma Roussef,Telephone
7/7/2010,119.78,Boris Becker,Utilities
11/8/2010,117.62,Catherine Douglas,Rent
1/11/2010,189.26,Elizabeth Taylor,Payroll
11/12/2010,120.39,Albert Albuqurque,Advertising
06/13/2010,121.82,Catherine Douglas,Rent
11/1/2010,115.48,Albert Albuqurque,Advertising
11/4/2010,116.28,Boris Becker,Utilities
11/5/2010,116.04,Albert Albuqurque,Advertising
